,precision,recall,f1-score,support
0,0.6071428571428571,0.4358974358974359,0.5074626865671643,39.0
1,0.40476190476190477,0.34,0.36956521739130443,50.0
2,0.7142857142857143,0.6410256410256411,0.6756756756756757,39.0
3,0.47368421052631576,0.42857142857142855,0.45,42.0
4,0.46808510638297873,0.6470588235294118,0.54320987654321,34.0
5,0.46153846153846156,0.5806451612903226,0.5142857142857143,31.0
6,0.7352941176470589,0.5952380952380952,0.6578947368421053,42.0
7,0.6470588235294118,0.55,0.5945945945945946,40.0
8,0.7045454545454546,0.775,0.7380952380952381,40.0
9,0.4888888888888889,0.6285714285714286,0.5499999999999999,35.0
10,0.8055555555555556,0.5918367346938775,0.6823529411764706,49.0
11,0.673469387755102,0.8048780487804879,0.7333333333333334,41.0
12,0.21052631578947367,0.25,0.22857142857142856,32.0
13,0.5277777777777778,0.6333333333333333,0.5757575757575758,30.0
14,0.7073170731707317,0.6041666666666666,0.6516853932584269,48.0
15,0.6,0.6136363636363636,0.6067415730337078,44.0
16,0.6666666666666666,0.6206896551724138,0.6428571428571429,29.0
17,0.75,0.8108108108108109,0.7792207792207791,37.0
18,0.5666666666666667,0.6538461538461539,0.6071428571428571,26.0
19,0.45454545454545453,0.45454545454545453,0.45454545454545453,22.0
accuracy,0.5826666666666667,0.5826666666666667,0.5826666666666667,0.5826666666666667
macro avg,0.5833905218588237,0.5829875617804663,0.5781496109446091,750.0
weighted avg,0.5943617282714004,0.5826666666666667,0.5832640857577048,750.0
